city,city_code,建築物高さ情報有り件数,建築物高さ情報有り割合,建築物高さ情報無し件数,建築物高さ情報無し割合,合計件数
東京都中野区,13114,67596,0.9365959097711024,4576,0.06340409022889763,72172
東京都杉並区,13115,130722,0.9217133791644633,11103,0.07828662083553675,141825
東京都豊島区,13116,52040,0.916229444698757,4758,0.083770555301243,56798
東京都北区,13117,69249,0.9625536883365998,2694,0.03744631166340019,71943
東京都荒川区,13118,42495,0.9507774918894731,2200,0.049222508110526905,44695
東京都板橋区,13119,101851,0.9593561027070814,4315,0.04064389729291864,106166
東京都練馬区,13120,158873,0.8934434065717772,18948,0.10655659342822277,177821
東京都足立区,13121,157343,0.9371567774905595,10551,0.06284322250944048,167894
東京都葛飾区,13122,112812,0.9567392908330719,5101,0.04326070916692816,117913
東京都江戸川区,13123,133866,0.924565571732464,10922,0.07543442826753598,144788
東京都八王子市,13201,166972,0.9084538460701422,16826,0.09154615392985778,183798
東京都立川市,13202,42771,0.894528799096499,5043,0.10547120090350107,47814
東京都武蔵野市,13203,28526,0.8755678330263965,4054,0.12443216697360343,32580
東京都三鷹市,13204,39816,0.8662619933424711,6147,0.13373800665752889,45963
東京都青梅市,13205,55388,0.8448315309406507,10173,0.1551684690593493,65561
東京都府中市,13206,52134,0.8487009181480758,9294,0.1512990818519242,61428
東京都昭島市,13207,27299,0.8107088765479761,6374,0.18929112345202387,33673
東京都調布市,13208,44823,0.8573313951264298,7459,0.14266860487357025,52282
東京都町田市,13209,116392,0.8692327224387986,17510,0.1307672775612015,133902
東京都小金井市,13210,27354,0.8882322379529809,3442,0.11176776204701909,30796
東京都小平市,13211,49260,0.8972023896255282,5644,0.10279761037447181,54904
東京都日野市,13212,44327,0.8401152322650343,8436,0.1598847677349658,52763
東京都東村山市,13213,42222,0.8594459258656136,6905,0.1405540741343864,49127
東京都国分寺市,13214,29506,0.9003967043027159,3264,0.0996032956972841,32770
東京都国立市,13215,17302,0.9213973799126638,1476,0.07860262008733625,18778
東京都福生市,13218,16320,0.8723540731237973,2388,0.1276459268762027,18708
東京都狛江市,13219,19494,0.8766470297252327,2743,0.12335297027476728,22237
東京都東大和市,13220,22998,0.8515570037397712,4009,0.14844299626022883,27007
東京都清瀬市,13221,19050,0.8664604748476303,2936,0.1335395251523697,21986
東京都東久留米市,13222,31103,0.8993465186213278,3481,0.10065348137867222,34584
東京都武蔵村山市,13223,26123,0.845787735543612,4763,0.154212264456388,30886
東京都多摩市,13224,21898,0.779565681737273,6192,0.22043431826272694,28090
東京都稲城市,13225,16409,0.7554788213627993,5311,0.24452117863720074,21720
東京都羽村市,13227,17931,0.8700989906832298,2677,0.12990100931677018,20608
東京都あきる野市,13228,39586,0.8460716423014448,7202,0.15392835769855517,46788
東京都西東京市,13229,48439,0.970332532051282,1481,0.029667467948717947,49920
東京都瑞穂町,13303,17166,0.8177011384747297,3827,0.18229886152527033,20993
東京都日の出町,13305,10199,0.8331155040026139,2043,0.16688449599738606,12242
東京都檜原村,13307,3446,0.8311625663289918,700,0.1688374336710082,4146
東京都奥多摩町,13308,6541,0.821320944249121,1423,0.17867905575087895,7964
東京都境界未定地,13999,10,0.2857142857142857,25,0.7142857142857143,35
神奈川県横浜市鶴見区,14101,60656,0.9725656196385909,1711,0.027434380361409078,62367
神奈川県横浜市神奈川区,14102,51805,0.9613635941878376,2082,0.03863640581216249,53887
神奈川県横浜市西区,14103,18208,0.9793986337475122,383,0.020601366252487763,18591
神奈川県横浜市中区,14104,29943,0.9681831409448055,984,0.03181685905519449,30927
神奈川県横浜市南区,14105,46750,0.9687914456233422,1506,0.031208554376657826,48256
神奈川県横浜市保土ケ谷区,14106,48100,0.9612886464016628,1937,0.03871135359833723,50037
神奈川県横浜市磯子区,14107,36972,0.9468104176803503,2077,0.053189582319649674,39049
神奈川県横浜市金沢区,14108,49673,0.935884392192328,3403,0.06411560780767202,53076
神奈川県横浜市港北区,14109,68396,0.9690014734217386,2188,0.03099852657826136,70584
神奈川県横浜市戸塚区,14110,64755,0.9208093965075934,5569,0.07919060349240657,70324
神奈川県横浜市港南区,14111,49539,0.9426842495861163,3012,0.057315750413883655,52551
神奈川県横浜市旭区,14112,65019,0.9606116569402379,2666,0.03938834305976213,67685
神奈川県横浜市緑区,14113,36068,0.9544071339736975,1723,0.04559286602630256,37791
神奈川県横浜市瀬谷区,14114,35464,0.9252524198387644,2865,0.07474758016123562,38329
神奈川県横浜市栄区,14115,31178,0.9247515942458846,2537,0.07524840575411539,33715
神奈川県横浜市泉区,14116,45459,0.9228942079298373,3798,0.07710579207016262,49257
神奈川県横浜市青葉区,14117,63655,0.9685788192331102,2065,0.031421180766889836,65720
神奈川県横浜市都筑区,14118,38690,0.9491217741144147,2074,0.05087822588558532,40764
